City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,leava,-14.3,-178.1667,80.26,83,72,9.75,WF,1691263313
84,rikaze,29.25,88.8833,53.8,82,100,1.25,CN,1691263313
85,talnakh,69.4865,88.3972,56.21,52,0,0.81,RU,1691263313
86,ekibastuz,51.6667,75.3667,68.59,82,100,5.68,KZ,1691263313
87,dudinka,69.4058,86.1778,56.62,61,1,5.57,RU,1691263313
88,zvezdnyy,57.7325,56.3147,70.39,78,63,4.43,RU,1691263314
89,brisas de zicatela,15.8369,-97.0419,88.32,55,75,6.91,MX,1691263314
90,shingu,33.7333,135.9833,78.87,91,89,3.74,JP,1691263295
91,tazacorte,28.629,-17.9293,75.15,80,20,18.41,ES,1691263314
92,thanh hoa,19.8,105.7667,75.74,91,100,4.43,VN,1691263314
93,san patricio,28.017,-97.5169,100.18,37,14,16.98,US,1691263314
94,balqash,46.8481,74.995,82.71,32,65,9.15,KZ,1691263314
95,butia,-30.1197,-51.9622,71.1,76,52,4.61,BR,1691263314
96,grande prairie,55.1667,-118.8027,73.58,46,20,4.61,CA,1691263314
97,prince rupert,54.3161,-130.3201,66.29,75,20,5.75,CA,1691263314
98,san luis de la loma,17.2706,-100.8939,89.04,57,69,6.02,MX,1691263315
99,petropavlovsk-kamchatsky,53.0452,158.6483,54.19,100,75,6.71,RU,1691263315
100,antofagasta,-23.65,-70.4,65.48,71,7,8.68,CL,1691263095
101,emerald,-23.5333,148.1667,54.91,77,0,5.46,AU,1691263315
102,kaa-khem,51.6833,94.7333,62.94,79,100,2.17,RU,1691263315
103,kayangel,8.0823,134.7173,81.54,77,100,7.65,PW,1691263315
104,moers,51.45,6.65,61.93,85,20,8.05,DE,1691263315
105,lebu,-37.6167,-73.65,55.33,70,0,4.5,CL,1691263315
106,itoman,26.1247,127.6694,80.98,94,75,41.43,JP,1691263316
107,tandil,-37.3217,-59.1332,57.69,49,100,10.74,AR,1691263316
108,guerrero negro,27.9769,-114.0611,79.74,50,8,11.01,MX,1691263316
109,long beach,33.767,-118.1892,94.87,69,0,13.8,US,1691263316
110,zeya,53.75,127.2667,56.64,55,0,3.18,RU,1691263316
111,yantzaza,-3.8278,-78.7594,79.61,70,56,3.09,EC,1691263316
112,necochea,-38.5473,-58.7368,55.87,51,100,11.77,AR,1691263316
113,utrik,11.2278,169.8474,82.26,68,96,16.93,MH,1691263316
114,alice springs,-23.7,133.8833,45.95,87,0,5.75,AU,1691263156
115,lihue,21.9789,-159.3672,81.99,71,20,12.66,US,1691263316
116,barika,35.389,5.3658,85.48,19,0,5.26,DZ,1691263317
117,trenggalek,-8.05,111.7167,73.63,87,77,1.83,ID,1691263317
118,port alfred,-33.5906,26.891,68.79,50,1,8.05,ZA,1691263317
119,plastun,44.7561,136.2939,58.19,95,100,3.69,RU,1691263317
120,manay,7.215,126.5397,78.35,85,83,7.67,PH,1691263317
121,ulsteinvik,62.3432,5.8487,56.32,77,100,5.99,NO,1691263317
122,hasaki,35.7333,140.8333,80.31,90,0,10.89,JP,1691263317
123,villa gesell,-37.2639,-56.973,56.05,58,100,10.47,AR,1691263317
124,coyhaique,-45.5752,-72.0662,46.35,49,75,10.36,CL,1691263294
125,pacific grove,36.6177,-121.9166,77.65,86,20,8.99,US,1691263318
126,altdorf,49.3875,11.3572,64.11,84,100,2.57,DE,1691263318
127,mata-utu,-13.2816,-176.1745,82.04,74,100,11.54,WF,1691263318
128,ushuaia,-54.8,-68.3,37.06,87,100,4.61,AR,1691263318
129,dwarka,22.2394,68.9678,81.39,82,100,19.89,IN,1691263318
130,dryden,49.7833,-92.7503,80.89,47,40,10.36,CA,1691263318
131,port lincoln,-34.7333,135.8667,52.86,63,100,7.4,AU,1691263318
132,formosa do rio preto,-11.0483,-45.1931,93.04,21,22,5.86,BR,1691263318
133,kalaleh,37.3807,55.4916,81.34,62,17,3.04,IR,1691263318
134,kovalam,8.3667,76.9967,84.29,74,40,9.22,IN,1691263318
135,bethanie,-26.4833,17.15,64.2,20,100,4.34,NA,1691263319
136,saudarkrokur,65.7461,-19.6394,52.27,70,93,4.36,IS,1691263319
137,novaya igirma,57.1334,103.9112,44.37,93,0,2.26,RU,1691263319
138,jamestown,42.097,-79.2353,77.02,65,100,5.75,US,1691263318
139,happy valley-goose bay,53.3168,-60.3315,73.71,49,75,9.22,CA,1691263319
140,itaituba,-4.2761,-55.9836,96.96,44,40,4.61,BR,1691263319
141,amuntai,-2.4177,115.2494,73.22,98,22,2.13,ID,1691263319
142,east ballina,-28.8667,153.5833,51.8,87,69,5.01,AU,1691263319
143,saint-joseph,-21.3667,55.6167,70.18,80,45,17.56,RE,1691263319
144,bikenibeu village,1.3673,173.1241,82.36,83,75,2.3,KI,1691263320
145,dunedin,-45.8742,170.5036,44.8,79,11,7.0,NZ,1691262977
146,cervantes,-39.05,-67.3833,56.79,42,100,9.42,AR,1691263320
147,afaahiti,-17.75,-149.2833,78.67,76,18,2.77,PF,1691263320
148,santa elena de uairen,4.6167,-61.1333,78.64,66,39,6.24,VE,1691263320
149,qaqortoq,60.7167,-46.0333,49.19,73,4,1.79,GL,1691263320
150,xilin hot,43.9667,116.0333,62.1,62,99,3.58,CN,1691263321
151,okha,53.5739,142.9478,51.6,88,21,3.78,RU,1691263321
152,pacasmayo,-7.4006,-79.5714,74.41,65,95,15.84,PE,1691263322
153,bhuj,23.2667,69.6667,81.36,78,100,17.02,IN,1691263049
154,praia da vitoria,38.7333,-27.0667,77.25,69,20,6.29,PT,1691263322
155,priozersk,61.0393,30.1291,66.94,92,100,1.99,RU,1691263322
156,tateyama,34.9833,139.8667,79.61,87,0,8.63,JP,1691263322
157,broken hill,-31.95,141.4333,41.25,82,0,10.22,AU,1691263055
158,port saint john's,-31.6229,29.5448,66.72,54,0,8.99,ZA,1691263322
159,rudnyy,52.9594,63.1206,68.23,70,33,4.74,KZ,1691263322
160,skive,56.5667,9.0333,61.32,80,12,5.03,DK,1691263323
161,bu'aale,1.0833,42.5833,75.07,73,73,11.77,SO,1691263323
162,olyokminsk,60.3736,120.4264,60.22,88,100,3.65,RU,1691263323
163,longyearbyen,78.2186,15.6401,49.84,93,100,9.22,SJ,1691263237
164,port elizabeth,-33.918,25.5701,70.11,88,0,2.3,ZA,1691263189
165,taixing,32.1667,120.0136,78.39,88,0,4.97,CN,1691263323
166,stanley,54.868,-1.6985,54.28,83,20,8.05,GB,1691263323
167,caleta de carquin,-11.0925,-77.6267,69.94,68,71,9.98,PE,1691263324
168,novodvinsk,64.4165,40.8122,60.6,98,4,5.35,RU,1691263324
169,zhangye,38.9342,100.4517,75.2,45,100,10.47,CN,1691263324
170,alofi,-19.0595,-169.9187,73.29,94,100,2.3,NU,1691263324
171,papatowai,-46.5619,169.4708,43.16,80,100,7.99,NZ,1691263324
172,ambovombe,-25.1667,46.0833,65.39,66,0,14.9,MG,1691263324
173,mokhsogollokh,61.4681,128.9203,56.71,59,52,2.39,RU,1691263324
174,skovorodino,53.9833,123.9167,53.64,68,6,1.81,RU,1691263325
175,port-gentil,-0.7193,8.7815,73.36,88,40,8.05,GA,1691263325
176,amursk,50.2261,136.8994,58.1,71,93,3.56,RU,1691263325
177,richards bay,-28.783,32.0377,66.25,74,18,10.29,ZA,1691263325
178,pozanti,37.4278,34.8717,74.12,74,0,0.78,TR,1691263325
179,nemuro,43.3236,145.575,58.44,97,100,6.78,JP,1691263227
180,vorozhba,51.1733,34.2192,74.05,64,0,8.86,UA,1691263325
181,howrah,22.5892,88.3103,84.2,84,75,8.05,IN,1691263326
182,kununurra,-15.7667,128.7333,76.98,36,100,6.91,AU,1691263127
183,garango,11.8,-0.5506,81.07,64,100,8.43,BF,1691263326
184,albany,42.6001,-73.9662,80.94,57,100,8.46,US,1691263244
185,reggane,26.7158,0.1714,110.61,6,0,10.54,DZ,1691263264
186,pisco,-13.7,-76.2167,71.65,64,0,10.36,PE,1691263326
187,udachny,66.4167,112.4,50.45,70,98,10.49,RU,1691263317
188,tibanbang,6.6315,126.1055,81.16,82,76,4.97,PH,1691263326
189,kurmuk,10.55,34.2833,68.47,87,100,2.59,SD,1691263326
190,lagunas,-5.2269,-75.6753,93.18,42,61,1.97,PE,1691263327
191,zachary,30.6485,-91.1565,99.75,47,20,4.61,US,1691263037
192,djibo,14.1022,-1.6306,92.25,47,100,16.11,BF,1691263327
193,wynyard,-41.0,145.7167,44.98,90,24,6.35,AU,1691263327
194,yuzhno-kurilsk,44.0306,145.8556,56.08,97,100,9.51,RU,1691263327
195,palikir - national government center,6.9248,158.1611,75.94,94,100,2.3,FM,1691263327
196,kalmunai,7.4167,81.8167,80.67,80,100,5.77,LK,1691263327
197,avarua,-21.2078,-159.775,71.65,78,100,5.75,CK,1691263266
198,krasnokholm,51.5979,54.1567,76.39,45,6,4.65,RU,1691263327
199,fort bragg,35.139,-79.006,91.81,54,20,8.05,US,1691263241
200,hadibu,12.65,54.0333,78.57,78,9,17.52,YE,1691263328
201,guangyuan,32.442,105.823,75.78,96,92,1.14,CN,1691263328
202,los frentones,-26.4077,-61.4137,96.53,18,0,13.96,AR,1691263328
203,ascencion,31.1,-107.9833,98.04,15,0,3.47,MX,1691263328
204,kudymkar,59.0173,54.656,63.48,96,2,6.64,RU,1691263328
205,rio gallegos,-51.6226,-69.2181,50.05,46,20,26.46,AR,1691263311
206,invercargill,-46.4,168.35,44.02,86,100,5.01,NZ,1691263328
207,gadzhiyevo,69.2551,33.3362,51.42,95,100,13.69,RU,1691263328
208,nar'yan-mar,67.6713,53.087,67.68,81,19,6.53,RU,1691263249
209,al kharj,24.155,47.3346,97.38,8,100,10.36,SA,1691263329
210,hermanus,-34.4187,19.2345,49.8,89,100,4.27,ZA,1691263329
211,upata,8.0086,-62.3989,88.2,56,100,5.03,VE,1691263329
212,polyarnyy,69.1989,33.4478,51.69,94,100,13.76,RU,1691263329
213,jiangyou,31.7667,104.7167,75.88,90,48,3.22,CN,1691263329
214,itamaraca,-7.7478,-34.8256,80.65,73,28,9.95,BR,1691263329
215,i-n-salah,27.1935,2.4607,107.58,6,0,8.25,DZ,1691263329
216,flying fish cove,-10.4217,105.6791,76.68,88,100,13.8,CX,1691263330
217,mil'kovo,55.6078,37.7956,73.54,62,1,4.25,RU,1691263330
218,haflong,25.1833,93.0333,73.83,99,100,3.85,IN,1691263330
219,enewetak,11.3474,162.3373,83.17,75,100,13.73,MH,1691263275
220,nichlaul,27.3167,83.7333,80.76,88,100,5.79,IN,1691263330
221,santa isabel,-23.3156,-46.2214,84.96,26,0,5.1,BR,1691263330
222,mejit,10.2753,170.8646,81.9,76,100,14.85,MH,1691263330
223,novyy urengoy,66.0833,76.6333,68.04,58,8,6.8,RU,1691263236
224,kiunga,-6.1219,141.2906,70.36,95,100,1.34,PG,1691263330
225,atakpame,7.5333,1.1333,73.72,90,100,3.51,TG,1691263331
226,camana,-16.6228,-72.7111,66.63,69,6,5.68,PE,1691263331
227,harper,4.375,-7.7169,76.68,85,95,11.36,LR,1691263331
228,smithers,54.7804,-127.1743,75.52,43,75,3.44,CA,1691263331
229,barra de santo antonio,-9.4047,-35.5072,79.88,76,17,8.19,BR,1691263331
230,constitucion,-35.3333,-72.4167,55.04,80,100,11.23,CL,1691263196
231,fada,9.5667,8.3,70.9,94,100,2.42,NG,1691263331
232,palmer,42.1584,-72.3287,85.24,49,75,4.61,US,1691263331
233,gidam,18.9833,81.4,74.57,92,44,2.64,IN,1691263331
234,lamballe,48.4676,-2.5144,61.0,74,7,23.96,FR,1691263332
235,clinton,42.587,-82.9199,83.95,61,100,10.36,US,1691263331
236,ingeniero guillermo n. juarez,-23.9,-61.85,95.67,18,0,15.82,AR,1691263332
237,cockburn town,21.4612,-71.1419,87.76,66,40,13.8,TC,1691263332
238,barpathar,26.3,93.8667,76.53,97,100,2.57,IN,1691263332
239,mananjary,-21.2167,48.3333,66.65,83,97,5.12,MG,1691263332
240,kupang,-10.1667,123.5833,73.85,79,0,10.31,ID,1691263332
241,nagqu,31.5,92.0,38.17,88,7,3.36,CN,1691263332
242,karratha,-20.7377,116.8463,73.62,42,0,8.46,AU,1691263332
243,fortuna,40.5982,-124.1573,69.93,80,0,13.8,US,1691263331
244,debre birhan,9.6833,39.5333,53.35,79,95,4.45,ET,1691263333
245,mount isa,-20.7333,139.5,56.97,58,0,5.75,AU,1691263333
246,forster,-32.1667,152.5167,48.38,99,12,8.28,AU,1691263333
